database,api,permit,longitude,latitude,surface_interval_id,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name,surface_id,bottom_id,,,
SMU-Google BHT Heat Flow,,,-88.2007,31.8677,AL-BHT-000031-a,1056.7,62.2,0.2,62.4,20,40.1,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.05,82,BHT-C,,Harrison,1,82,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.1899,33.362,AL-BHT-000032-a,1677.7,60,7.5,67.5,19.1,28.8,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.12,61,BHT-C,,Harrison,1,61,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.1859,32.6268,AL-BHT-000033-a,765.2,42.2,-3.9,38.3,19.7,24.3,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.09,51,BHT-C,,Harrison,1,51,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.1776,32.6674,AL-BHT-000034-a,1036.3,42.2,-0.1,42.1,19.6,21.7,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.09,45,BHT-C,,Harrison,1,45,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.17,31.8202,AL-BHT-000035-a,3920.7,87.8,19.1,106.9,20.1,22.1,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.05,45,BHT-C,,Harrison,1,45,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.1478,30.9078,AL-BHT-000036-a,2441.5,71.7,14.1,85.8,20.5,26.7,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,1.99,53,BHT-C,,Harrison,1,53,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.1355,32.42,AL-BHT-000037-a,1222.6,42.2,2.3,44.5,19.8,20.2,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.08,42,BHT-C,,Harrison,1,42,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.0879,32.4968,AL-BHT-000038-a,1223.2,53.3,2.3,55.6,19.7,29.3,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.09,61,BHT-C,,Harrison,1,61,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.0856,31.7732,AL-BHT-000039-a,1222.6,46.7,2.3,49,20.1,23.6,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.05,48,BHT-C,,Harrison,1,48,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.082,31.9212,AL-BHT-000040-a,2926.2,68.9,16.9,85.8,20,22.5,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.06,46,BHT-C,,Harrison,1,46,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.0756,30.9008,AL-BHT-000041-a,3163.1,90,17.8,107.8,20.5,27.6,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,1.99,55,BHT-C,,Harrison,1,55,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.074,31.8402,AL-BHT-000042-a,3710.1,92.2,19,111.2,20.1,24.6,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.06,51,BHT-C,,Harrison,1,51,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.0517,31.5108,AL-BHT-000043-a,1896.3,63.3,9.7,73,20.2,27.8,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.03,56,BHT-C,,Harrison,1,56,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.0413,30.9443,AL-BHT-000044-a,3132.3,87.8,17.7,105.5,20.5,27.1,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,1.99,54,BHT-C,,Harrison,1,54,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.0361,33.8042,AL-BHT-000045-a,975.3,43.9,-0.9,43,17.9,25.7,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.11,54,BHT-C,,Harrison,1,54,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.0266,31.6079,AL-BHT-000046-a,1333.5,48.9,3.7,52.6,20.2,24.3,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.04,50,BHT-C,,Harrison,1,50,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
