longitude,latitude,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name
-94.55943,32.33463,3145.0,149.44,,149.0,21.06,40.68,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,97.08,BHT-C,,Harrison,1.0,97.08,,,,,,,,,,,,,,,,Rusk County
-94.1788,32.4027,2042.7,92.8,11.0,103.8,20.8,40.6,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.05,83.0,BHT-C,,Harrison,1.0,83.0,,,,,5.0,,,"Bowles Energy, Inc.",Gas Well,Unknown,Bethany,,KB,381.0,116.16,Harrison
-94.57432,32.4312,3302.25,136.67,,154.91,20.96,40.56,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.34,96.69,BHT-C,,Harrison,1.0,96.69,,,,,,,,,,,,,,,,Harrison County
-94.3535,30.8519,3416.8,141.1,18.5,159.6,21.96,40.4,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.93,78.0,BHT-C,,Harrison,1.0,78.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-94.66361,32.32195,2324.48,101.67,,114.95,21.16,40.35,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.3,94.09,BHT-C,,Harrison,1.0,94.09,,,,,,,,,,,,,,,119.18,Rusk County
-94.82854,32.37636,3419.67,140.56,,159.09,21.2,40.32,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,96.59,BHT-D,,Harrison,1.0,96.59,,,,,,,,,,,,,,,119.48,Gregg County
-94.2621,32.1346,2140.2,95.6,11.8,107.4,21.2,40.3,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.04,82.0,BHT-C,,Harrison,2.0,79.0,,,,,6.0,,,"Anadarko E&P Co., LP",Oil Well,Unknown,Carthage,,KB,312.0,95.12,Panola
-95.095,32.3838,2618.9,111.7,15.2,126.9,21.3,40.3,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.06,83.0,BHT-C,,Harrison,1.0,83.0,,,,,5.0,,,"Ellis Exploration, Inc.",Oil Well,Unknown,Chapel Hill,,KB,432.77,131.94,Smith
-94.78284,32.57,2509.9,107.22,,121.79,20.93,40.18,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.3,93.79,BHT-C,,Harrison,1.0,93.79,,,,,,,,,,,,,,,120.7,Gregg County
-95.017,30.5526,3207.3,133.3,18.0,151.3,22.8,40.1,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,79.0,BHT-C,,Harrison,1.0,79.0,,,,,,,,King & DeLange I-Langham G.U. ,Oil or Gas Well,Unknown,,,,,,San Jacinto
-94.7213,30.9345,3739.9,153.3,19.0,172.3,22.2,40.1,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.98,79.0,BHT-C,,Harrison,1.0,79.0,,,,,,,,Wainoco I-Carter Bros. ,Oil or Gas Well,Unknown,,,,,,Polk
-94.53929,32.39758,3242.13,132.78,,150.85,20.97,40.06,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.34,95.47,BHT-C,,Harrison,1.0,95.47,,,,,,,,,,,,,,,73.46,Rusk County
-94.7667,31.7767,2433.8,105.0,14.1,119.1,21.7,40.0,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.01,80.0,BHT-C,,Harrison,1.0,80.0,,,,,9.0,,,ExxonMobil,Gas Well,Unknown,Trawick,,KB,500.0,152.44,Nacogdoches
